"","Film","Genre","Lead Studio","Audience  score %","Profitability","Rotten Tomatoes %","Worldwide Gross","Year"
"1","27 Dresses","Comedy","Fox",71,160.31,40,160.308654,2008
"2","(500) Days of Summer","Comedy","Fox",81,60.72,87,60.72,2009
"3","A Dangerous Method","Drama","Independent",89,8.97,79,8.972895,2011
"4","A Serious Man","Drama","Universal",64,30.68,89,30.68,2009
"5","Across the Universe","Romance","Independent",84,29.37,54,29.367143,2007
"6","Beginners","Comedy","Independent",80,14.31,84,14.31,2011
"7","Dear John","Drama","Sony",66,114.97,29,114.97,2010
"8","Enchanted","Comedy","Disney",80,340.49,93,340.487652,2007
"9","Fireproof","Drama","Independent",51,33.47,40,33.467,2008
"10","Four Christmases","Comedy","Warner Bros.",52,161.83,26,161.834,2008
"11","Ghosts of Girlfriends Past","Comedy","Warner Bros.",47,102.22,27,102.22,2009
"12","Gnomeo and Juliet","Animation","Disney",52,193.97,56,193.967,2011
"13","Going the Distance","Comedy","Warner Bros.",56,42.05,53,42.05,2010
"14","Good Luck Chuck","Comedy","Lionsgate",61,59.19,3,59.192128,2007
"15","He's Just Not That Into You","Comedy","Warner Bros.",60,178.84,42,178.84,2009
"16","High School Musical 3: Senior Year","Comedy","Disney",76,252.04,65,252.044501,2008
"17","I Love You Phillip Morris","Comedy","Independent",57,20.1,71,20.1,2010
"18","It's Complicated","Comedy","Universal",63,224.6,56,224.6,2009
"19","Just Wright","Comedy","Fox",58,21.57,45,21.569,2010
"20","Killers","Action","Lionsgate",45,93.4,11,93.4,2010
"21","Knocked Up","Comedy","Universal",83,219,91,219.001261,2007
"22","Leap Year","Comedy","Universal",49,32.59,21,32.59,2010
"23","Letters to Juliet","Comedy","Summit",62,79.18,40,79.18,2010
"24","License to Wed","Comedy","Warner Bros.",55,69.31,8,69.307224,2007
"25","Life as We Know It","Comedy","Independent",62,96.16,28,96.16,2010
"26","Love & Other Drugs","Comedy","Fox",55,54.53,48,54.53,2010
"27","Love Happens","Drama","Universal",40,36.08,18,36.08,2009
"28","Made of Honor","Comedy","Sony",61,105.96,13,105.962734,2008
"29","Marley and Me","Comedy","Fox",77,206.07,63,206.073,2008
"30","Midnight in Paris","Romance","Sony",84,148.66,93,148.66,2011
"31","Miss Pettigrew Lives for a Day","Comedy","Independent",70,15.17,78,15.173694,2008
"32","Monte Carlo","Romance","20th Century Fox",50,39.66,38,39.664,2011
"33","Music and Lyrics","Romance","Warner Bros.",70,145.9,63,145.896422,2007
"34","My Week with Marilyn","Drama","The Weinstein Company",84,8.26,83,8.258,2011
"35","New Year's Eve","Romance","Warner Bros.",48,142.04,8,142.04,2011
"36","Nick and Norah's Infinite Playlist","Comedy","Sony",67,33.53,73,33.527293,2008
"37","Not Easily Broken","Drama","Independent",66,10.7,34,10.7,2009
"38","One Day","Romance","Independent",54,55.24,37,55.241,2011
"39","Over Her Dead Body","Comedy","New Line",47,20.71,15,20.71,2008
"40","P.S. I Love You","Romance","Independent",82,153.09,21,153.093505,2007
"41","Penelope","Comedy","Summit",74,20.74,52,20.741996,2008
"42","Rachel Getting Married","Drama","Independent",61,16.61,85,16.61,2008
"43","Remember Me","Drama","Summit",70,55.86,28,55.86,2010
"44","Sex and the City 2","Comedy","Warner Bros.",49,288.35,15,288.35,2010
"45","She's Out of My League","Comedy","Paramount",60,48.81,57,48.81,2010
"46","Tangled","Animation","Disney",88,355.08,89,355.08,2010
"47","The Back-up Plan","Comedy","CBS",47,77.09,20,77.09,2010
"48","The Curious Case of Benjamin Button","Fantasy","Warner Bros.",81,285.43,73,285.431,2008
"49","The Duchess","Drama","Paramount",68,43.31,60,43.305978,2008
"50","The Heartbreak Kid","Comedy","Paramount",41,127.77,30,127.76665,2007
"51","The Invention of Lying","Comedy","Warner Bros.",47,32.4,56,32.4,2009
"52","The Proposal","Comedy","Disney",74,314.7,43,314.7,2009
"53","The Time Traveler's Wife","Drama","Paramount",65,101.33,38,101.33,2009
"54","The Ugly Truth","Comedy","Independent",68,205.3,14,205.3,2009
"55","Tyler Perry's Why Did I get Married","Romance","Independent",47,55.86,46,55.862886,2007
"56","Valentine's Day","Comedy","Warner Bros.",54,217.57,17,217.57,2010
"57","Waiting For Forever","Romance","Independent",53,0.03,6,0.025,2011
"58","Waitress","Romance","Independent",67,22.18,89,22.179483,2007
"59","Water For Elephants","Drama","20th Century Fox",72,117.09,60,117.094,2011
"60","What Happens in Vegas","Comedy","Fox",72,219.37,28,219.367646,2008
"61","You Will Meet a Tall Dark Stranger","Comedy","Independent",35,26.66,43,26.66,2010
"62","Youth in Revolt","Comedy","The Weinstein Company",52,19.62,68,19.62,2010
"63","Zack and Miri Make a Porno","Romance","The Weinstein Company",70,41.94,64,41.941,2008
